VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EB5K,Yakima,Yakima,WA,98901,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,15,347724772,POINT (-120.50729 46.60464),PACIFICORP,53077001502
1C4RJXU67R,Kitsap,Port Orchard,WA,98367,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,35,272165288,POINT (-122.68471 47.50524),PUGET SOUND ENERGY INC,53035092901
KNDCD3LD0N,Snohomish,Lynnwood,WA,98036,2022,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,32,203182584,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051402
5UXKT0C37H,King,Auburn,WA,98001,2017,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,30,349010287,POINT (-122.23035 47.3074),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029806
1N4AZ0CP1D,Skagit,Mount Vernon,WA,98273,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,40,131684150,POINT (-122.33891 48.41644),PUGET SOUND ENERGY INC,53057952304
1N4BZ0CP8G,Snohomish,Marysville,WA,98270,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,44,256278109,POINT (-122.1769 48.06114),PUGET SOUND ENERGY INC,53061052710
5YJSA1E26G,Chelan,Manson,WA,98831,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,12,338404888,POINT (-120.16034 47.8854),PUD NO 1 OF CHELAN COUNTY,53007960400
7SAYGDEE7P,Snohomish,Bothell,WA,98021,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,241608608,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051917
1N4AZ0CP5F,Snohomish,Edmonds,WA,98020,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,32,173391158,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,53061050502
WP1AE2A26G,Snohomish,Everett,WA,98208,2016,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,44,176239570,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041704
